dep,jour,P,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j
71,2020-11-11,36,0,547824.0,6.571453605537545,2660.0,485.5574052980519
71,2020-11-12,473,0,547824.0,86.34159876164608,2494.0,455.2557025614066
71,2020-11-13,374,0,547824.0,68.27010134641783,2257.0,411.9936329916177
71,2020-11-14,102,0,547824.0,18.619118549023042,2144.0,391.3665702853471
71,2020-11-15,29,0,547824.0,5.293670960016356,2125.0,387.89830310464674
71,2020-11-16,379,0,547824.0,69.18280323607581,1940.0,354.12833318730105
71,2020-11-17,310,0,547824.0,56.58751715879553,1703.0,310.8662636175122
71,2020-11-18,217,0,547824.0,39.61126201115687,1884.0,343.9060720231315
71,2020-11-19,180,0,547824.0,32.857268027687724,1591.0,290.42174128917316
71,2020-11-20,192,0,547824.0,35.04775256286691,1409.0,257.19939250562226
71,2020-11-21,66,0,547824.0,12.047664943485499,1373.0,250.6279389000847
71,2020-11-22,24,0,547824.0,4.380969070358364,1368.0,249.7152370104267
71,2020-11-23,253,0,547824.0,46.18271561669441,1242.0,226.71514939104532
71,2020-11-24,180,0,547824.0,32.857268027687724,1112.0,202.9849002599375
71,2020-11-25,161,0,547824.0,29.389000846987354,1056.0,192.76263909576798
71,2020-11-26,158,0,547824.0,28.84137971319256,1034.0,188.74675078127282
71,2020-11-27,138,0,547824.0,25.190572154560588,980.0,178.8895703729665
71,2020-11-28,56,0,547824.0,10.222261164169515,970.0,177.06416659365053
71,2020-11-29,17,0,547824.0,3.1031864248371743,963.0,175.78638394812933
71,2020-11-30,216,0,547824.0,39.428721633225265,926.0,169.03238996466018
71,2020-12-01,135,0,547824.0,24.642951020765793,881.0,160.81807295773825
71,2020-12-02,120,0,547824.0,21.904845351791817,840.0,153.3339174625427
71,2020-12-03,152,0,547824.0,27.746137445602965,834.0,152.23867519495312
71,2020-12-04,171,0,547824.0,31.214404626303338,867.0,158.26250766669585
71,2020-12-05,70,0,547824.0,12.777826455211892,881.0,160.81807295773825
71,2020-12-06,25,0,547824.0,4.563509448289962,889.0,162.27839598119104
71,2020-12-07,182,0,547824.0,33.22234878355092,855.0,156.0720231315167
71,2020-12-08,177,0,547824.0,32.30964689389293,897.0,163.73871900464383
71,2020-12-09,164,0,547824.0,29.93662198078215,941.0,171.77049563363414
71,2020-12-10,161,0,547824.0,29.389000846987354,950.0,173.41335903501854
71,2020-12-11,171,0,547824.0,31.214404626303338,950.0,173.41335903501854
71,2020-12-12,92,0,547824.0,16.79371476970706,972.0,177.42924734951373
71,2020-12-13,30,0,547824.0,5.476211337947954,977.0,178.3419492391717
71,2020-12-14,238,0,547824.0,43.44460994772044,1033.0,188.5642104033412
71,2020-12-15,218,0,547824.0,39.79380238908847,1074.0,196.04836589853673
71,2020-12-16,174,0,547824.0,31.762025760098137,1084.0,197.87376967785275
71,2020-12-17,240,0,547824.0,43.809690703583634,1163.0,212.294459534449
71,2020-12-18,189,0,547824.0,34.50013142907211,1181.0,215.58018633721778
71,2020-12-19,114,0,547824.0,20.809603084202227,1203.0,219.59607465171297
71,2020-12-20,21,0,547824.0,3.833347936563568,1194.0,217.9532112503286
71,2020-12-21,292,0,547824.0,53.30179035602675,1248.0,227.8103916586349
71,2020-12-22,240,0,547824.0,43.809690703583634,1270.0,231.82627997313006
71,2020-12-23,167,0,547824.0,30.484243114576948,1263.0,230.54849732760886
71,2020-12-24,164,0,547824.0,29.93662198078215,1187.0,216.6754286048074
71,2020-12-25,18,0,547824.0,3.2857268027687727,1016.0,185.46102397850404
71,2020-12-26,79,0,547824.0,14.42068985659628,981.0,179.0721107508981
71,2020-12-27,30,0,547824.0,5.476211337947954,990.0,180.71497415228248
71,2020-12-28,252,0,547824.0,46.000175238762814,950.0,173.41335903501854
71,2020-12-29,241,0,547824.0,43.99223108151523,951.0,173.59589941295016
71,2020-12-30,187,0,547824.0,34.135050673208916,971.0,177.2467069715821
71,2020-12-31,202,0,547824.0,36.87315634218289,1009.0,184.18324133298285
71,2021-01-01,20,0,547824.0,3.650807558631969,1011.0,184.54832208884605
71,2021-01-02,158,0,547824.0,28.84137971319256,1090.0,198.96901194544236
71,2021-01-03,30,0,547824.0,5.476211337947954,1090.0,198.96901194544236
71,2021-01-04,343,0,547824.0,62.61134963053827,1181.0,215.58018633721778
71,2021-01-05,272,0,547824.0,49.65098279739479,1212.0,221.23893805309734
71,2021-01-06,217,0,547824.0,39.61126201115687,1242.0,226.71514939104532
71,2021-01-07,220,0,547824.0,40.158883144951666,1260.0,230.00087619381407
71,2021-01-08,246,0,547824.0,44.904932971173224,1486.0,271.25500160635534
71,2021-01-09,120,0,547824.0,21.904845351791817,1448.0,264.3184672449546
