jour,Département,Nouvelles hospitalisations en 24h,Nouvelles entrées en réanimation en 24h,Nouveaux décès à l'hôpital en 24h,Nouveaux retours à domicile en 24h
2020-05-18,Yonne,6,0,3,6
2020-05-18,Territoire de Belfort,1,0,0,0
2020-05-19,Côte-d'Or,1,1,2,6
2020-05-19,Doubs,2,0,2,5
2020-05-19,Jura,1,0,0,5
2020-05-19,Nièvre,0,0,0,0
2020-05-19,Haute-Saône,0,0,0,5
2020-05-19,Saône-et-Loire,9,1,4,11
2020-05-19,Yonne,2,0,1,4
2020-05-19,Territoire de Belfort,1,0,0,7
2020-05-20,Côte-d'Or,5,3,1,5
2020-05-20,Doubs,1,0,0,5
2020-05-20,Jura,5,0,0,6
2020-05-20,Nièvre,1,0,0,10
2020-05-20,Haute-Saône,0,0,0,1
2020-05-20,Saône-et-Loire,3,0,0,11
2020-05-20,Yonne,4,0,1,6
2020-05-20,Territoire de Belfort,5,0,0,5
2020-05-21,Côte-d'Or,0,0,0,2
2020-05-21,Doubs,0,0,0,3
2020-05-21,Jura,1,0,0,1
2020-05-21,Nièvre,1,0,0,4
2020-05-21,Haute-Saône,0,0,0,0
2020-05-21,Saône-et-Loire,0,0,0,2
2020-05-21,Yonne,4,0,2,2
2020-05-21,Territoire de Belfort,7,0,1,42
2020-05-22,Côte-d'Or,2,1,1,3
2020-05-22,Doubs,0,0,2,1
2020-05-22,Jura,3,0,1,3
2020-05-22,Nièvre,0,0,0,0
2020-05-22,Haute-Saône,0,0,0,0
2020-05-22,Saône-et-Loire,3,1,0,10
2020-05-22,Yonne,0,0,1,6
2020-05-22,Territoire de Belfort,1,0,0,0
2020-05-23,Côte-d'Or,2,0,0,1
2020-05-23,Doubs,1,1,0,5
2020-05-23,Jura,1,0,0,1
2020-05-23,Nièvre,0,0,0,0
2020-05-23,Haute-Saône,0,1,0,0
2020-05-23,Saône-et-Loire,1,0,0,0
2020-05-23,Yonne,5,0,0,1
2020-05-23,Territoire de Belfort,0,0,0,4
2020-05-24,Côte-d'Or,2,1,0,2
2020-05-24,Doubs,0,0,0,0
2020-05-24,Jura,0,0,0,0
2020-05-24,Nièvre,0,0,1,0
2020-05-24,Haute-Saône,0,0,0,0
2020-05-24,Saône-et-Loire,0,0,0,1
2020-05-24,Yonne,2,0,0,1
2020-05-24,Territoire de Belfort,0,0,1,0
2020-05-25,Côte-d'Or,7,0,0,18
2020-05-25,Doubs,0,0,0,2
2020-05-25,Jura,1,0,0,0
2020-05-25,Nièvre,0,0,0,0
2020-05-25,Haute-Saône,0,0,0,10
2020-05-25,Saône-et-Loire,10,2,2,11
2020-05-25,Yonne,1,0,1,5
2020-05-25,Territoire de Belfort,2,0,1,0
2020-05-26,Côte-d'Or,7,2,2,24
2020-05-26,Doubs,0,0,0,12
2020-05-26,Jura,1,0,1,33
2020-05-26,Nièvre,1,0,0,1
2020-05-26,Haute-Saône,1,0,0,15
2020-05-26,Saône-et-Loire,4,0,0,15
2020-05-26,Yonne,3,0,0,17
2020-05-26,Territoire de Belfort,0,0,0,2
2020-05-27,Côte-d'Or,2,0,0,10
2020-05-27,Doubs,9,1,1,27
2020-05-27,Jura,0,0,0,3
2020-05-27,Nièvre,0,0,1,1
2020-05-27,Haute-Saône,0,0,0,1
2020-05-27,Saône-et-Loire,3,0,0,6
2020-05-27,Yonne,6,0,1,4
2020-05-27,Territoire de Belfort,0,0,1,7
2020-05-28,Côte-d'Or,1,0,0,3
2020-05-28,Doubs,2,1,1,5
2020-05-28,Jura,1,0,1,1
2020-05-28,Nièvre,0,0,0,2
2020-05-28,Haute-Saône,0,0,0,1
2020-05-28,Saône-et-Loire,3,0,0,6
2020-05-28,Yonne,0,0,0,2
2020-05-28,Territoire de Belfort,2,0,1,4
2020-05-29,Côte-d'Or,3,0,1,6
2020-05-29,Doubs,0,0,0,0
2020-05-29,Jura,23,0,0,16
2020-05-29,Nièvre,0,0,0,8
